playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
547,Jeff Bagwell,Jeff Bagwell,HOU,Astros,21,1B,479.0,,,7.78316068649292,7.78316068649292
104,Greg Maddux,Greg Maddux,ATL,Braves,16,P,73.0,202.0,7.433055877685547,0.2779149115085602,7.710970789194107
255,Frank Thomas,Frank Thomas,CHW,White Sox,4,1B,517.0,,,7.011308670043945,7.011308670043945
327,Ken Griffey Jr.,Ken Griffey Jr.,SEA,Mariners,11,CF,493.0,,,6.831113815307617,6.831113815307617
246,Kenny Lofton,Kenny Lofton,CLE,Indians,5,CF,523.0,,,6.632810592651367,6.632810592651367
1109,Barry Bonds,Barry Bonds,SFG,Giants,30,LF,474.0,,,6.007003307342529,6.007003307342529
1011355,Bret Saberhagen,Bret Saberhagen,NYM,Mets,25,P,70.0,177.3333,5.400688648223877,0.21098868548870087,5.611677333712578
1000802,Albert Belle,Albert Belle,CLE,Indians,5,LF,480.0,,,5.277529239654541,5.277529239654541
60,Randy Johnson,Randy Johnson,SEA,Mariners,11,P,,172.0,5.195550441741943,0.0,5.195550441741943
1008473,Jack McDowell,Jack McDowell,CHW,White Sox,4,P,,181.0,4.912532329559326,0.0,4.912532329559326
293,Fred McGriff,Fred McGriff,ATL,Braves,16,1B,478.0,,,4.832294464111328,4.832294464111328
261,Moises Alou,Moises Alou,MON,Expos,24,RF/LF,471.0,,,4.669128894805908,4.669128894805908
1010978,Cal Ripken Jr.,Cal Ripken,BAL,Orioles,2,SS,484.0,,,4.600319862365723,4.600319862365723
1266,Rafael Palmeiro,Rafael Palmeiro,BAL,Orioles,2,1B,498.0,,,4.559045314788818,4.559045314788818
77,Matt Williams,Matt Williams,SFG,Giants,30,3B,483.0,,,4.459001541137695,4.459001541137695
549,Craig Biggio,Craig Biggio,HOU,Astros,21,2B,511.0,,,4.429496765136719,4.429496765136719
455,Larry Walker,Larry Walker,MON,Expos,24,1B/RF,452.0,,,4.3958659172058105,4.3958659172058105
1010300,Tony Phillips,Tony Phillips,DET,Tigers,6,LF,538.0,,,4.376247406005859,4.376247406005859
1009818,Paul O'Neill,Paul O'Neill,NYY,Yankees,9,RF,443.0,,,4.349581718444824,4.349581718444824
349,Jose Rijo,Jose Rijo,CIN,Reds,18,P,59.0,172.3333,4.131814002990723,0.20317202806472778,4.33498603105545
1001124,Wade Boggs,Wade Boggs,NYY,Yankees,9,3B,434.0,,,4.177679538726807,4.177679538726807
815,Roger Clemens,Roger Clemens,BOS,Red Sox,3,P,,170.6666,4.166441440582275,0.0,4.166441440582275
1009004,Kevin Mitchell,Kevin Mitchell,CIN,Reds,18,LF,380.0,,,4.164035320281982,4.164035320281982
1144,Andy Benes,Andy Benes,SDP,Padres,29,P,63.0,172.3333,4.159605503082275,-0.01876327209174633,4.140842230990529
652,Marquis Grissom,Marquis Grissom,MON,Expos,24,CF,521.0,,,4.097965717315674,4.097965717315674
1375,John Valentin,John Valentin,BOS,Red Sox,3,SS,355.0,,,4.0508294105529785,4.0508294105529785
3,Kevin Appier,Kevin Appier,KCR,Royals,7,P,,155.0,3.9739718437194824,0.0,3.9739718437194824
1006295,Danny Jackson,Danny Jackson,PHI,Phillies,26,P,68.0,179.3333,3.893561840057373,0.07577701658010483,3.969338856637478
1005166,Tony Gwynn,Tony Gwynn,SDP,Padres,29,RF,475.0,,,3.9594807624816895,3.9594807624816895
1006885,Jimmy Key,Jimmy Key,NYY,Yankees,9,P,,168.0,3.950859785079956,0.0,3.950859785079956
1001863,Ken Caminiti,Ken Caminiti,HOU,Astros,21,3B,454.0,,,3.8950860500335693,3.8950860500335693
90,Tom Glavine,Tom Glavine,ATL,Braves,16,P,70.0,165.3333,3.6304707527160645,0.22646640241146088,3.8569371551275253
302,Sammy Sosa,Sammy Sosa,CHC,Cubs,17,RF,458.0,,,3.82208251953125,3.82208251953125
1007928,Shane Mack,Shane Mack,MIN,Twins,8,CF/LF,347.0,,,3.8011319637298584,3.8011319637298584
